,Word1,Word2,Similarity Score,Ground Truth similarity score,Label
0,मोहब्बत,सेक्स,3.480145553775274,6.8,0
1,बाघ,बिल्ली,5.456492759773399,7.0,0
2,किताब,कागज़,5.772483683253553,7.6,0
3,कंप्यूटर,कीबोर्ड,5.557799396620199,7.6,0
4,कंप्यूटर,इंटरनेट,6.982660767421115,8.0,1
5,विमान,कार,6.010701311512701,6.0,1
6,रेलगाड़ी,कार,5.693607316364027,6.2,0
7,टेलीफोन,संचार,5.5993769986238995,7.6,0
8,टेलीविजन,रेडियो,6.654107970125888,6.4,1
9,मीडिया,रेडियो,5.226255659627413,5.8,0
10,ब्रेड,मक्खन,6.223899680544393,6.6,1
11,खीरा,आलू,5.6974279850034915,5.8,0
12,चिकित्सक,नर्स,6.946243071744398,7.6,1
13,प्रोफ़ेसर,चिकित्सक,4.23055893992357,4.6,0
14,छात्र,प्रोफ़ेसर,4.828631470650285,7.0,0
15,होशियार,छात्र,3.895163707424179,5.2,0
16,होशियार,बेवकूफ,5.703295367051461,6.2,0
17,किताब,पुस्तकालय,4.463667521211675,7.6,0
18,बैंक,पैसे,5.727216587830005,8.0,0
19,लकड़ी,जंगल,5.661059346265409,7.0,0
20,प्रोफ़ेसर,खीरा,-0.9180405557172083,0.0,0
21,राजा,रानी,6.560090132816447,8.2,1
22,बिशप,रबी,0.7509658694115694,7.0,0
23,यरूशलेम,इजराइल,4.483538593202817,7.8,0
24,पवित्र,सेक्स,3.0761586489358805,1.0,0
25,माराडोना,फ़ुटबॉल,4.155328426164093,7.8,0
26,फ़ुटबॉल,सॉकर,6.615199562626906,9.0,1
27,फ़ुटबॉल,बास्केटबाल,4.6500581406794925,6.4,0
28,फ़ुटबॉल,टेनिस,5.49661236072607,5.8,0
29,टेनिस,रैकेट,4.362918463622095,7.4,0
30,कानून,वकील,5.8145127582803635,7.8,0
31,चलचित्र,पॉपकॉर्न,2.83280282415968,6.6,0
32,चलचित्र,आलोचक,2.4103499418425898,6.6,0
33,चलचित्र,थिएटर,3.29284205210367,8.4,0
34,पीना,कार,2.471738607487815,1.4,0
35,पीना,कान,2.9407600446025106,0.4,0
36,पीना,मुंह,4.827905768592519,7.0,0
37,बच्चा,मां,6.594818106262839,7.2,1
38,पीना,मां,3.1777251252040757,1.8,0
39,मणि,गहना,2.945953189950714,6.8,0
40,भट्ठी,स्टोव,4.847415327495834,8.4,0
41,भोजन,फल,6.67103870573821,6.6,1
42,पक्षी,सारस,6.895947970503134,7.4,1
43,भाई,साधु,3.9793450762662474,1.4,0
44,यात्रा,कार,5.04565004630532,6.2,0
45,साधु,गुलाम,2.054245560257943,0.2,0
46,कांच,जादूगर,2.2292475963852803,2.0,0
47,पैसे,मुद्रा,4.957973518525213,8.6,0
48,पैसे,धन,7.046532768580911,9.2,1
49,पैसे,संपत्ति,6.021394869574789,8.4,1
50,पैसे,बैंक,5.727216587830005,8.2,0
51,पैसे,जमा,6.29725599186076,6.6,1
52,पैसे,ऑपरेशन,3.44061175735784,2.6,0
53,बाघ,जैगुआर,2.7995894769002545,8.0,0
54,बाघ,जानवर,7.211980220734992,7.6,1
55,बाघ,चिड़ियाघर,5.449349661662156,6.8,0
56,मनोविज्ञान,चिंता,3.234600471145072,6.2,0
57,मनोविज्ञान,डर,2.495065401315161,5.2,0
58,मनोविज्ञान,डिप्रेशन,3.333206888498893,7.0,0
59,मनोविज्ञान,क्लिनिक,3.3333522632918164,6.4,0
60,मनोविज्ञान,चिकित्सक,4.880690547262611,7.0,0
61,मनोविज्ञान,मन,3.659041887504645,7.4,0
62,मनोविज्ञान,स्वास्थ्य,5.156012645099257,6.2,0
63,मनोविज्ञान,विज्ञान,7.450683205393636,7.0,1
64,मनोविज्ञान,अनुशासन,5.041249928481309,4.2,0
65,",",Accuracy,=,0.47692307692307695,
