,Word1,Word2,Similarity Score,Ground Truth similarity score,Label
0,मोहब्बत,सेक्स,3.3713990449905396,6.8,0
1,बाघ,बिल्ली,6.4748722314834595,7.0,1
2,किताब,कागज़,5.339189171791077,7.6,1
3,कंप्यूटर,कीबोर्ड,6.9081127643585205,7.6,1
4,कंप्यूटर,इंटरनेट,7.11635947227478,8.0,1
5,विमान,कार,6.274393796920776,6.0,1
6,रेलगाड़ी,कार,6.108958125114441,6.2,1
7,टेलीफोन,संचार,5.805759429931641,7.6,1
8,टेलीविजन,रेडियो,7.580018043518066,6.4,1
9,मीडिया,रेडियो,5.306770205497742,5.8,1
10,ब्रेड,मक्खन,7.221522927284241,6.6,1
11,खीरा,आलू,8.32327425479889,5.8,1
12,चिकित्सक,नर्स,7.003461122512817,7.6,1
13,प्रोफ़ेसर,चिकित्सक,5.450975298881531,4.6,1
14,छात्र,प्रोफ़ेसर,5.0607311725616455,7.0,1
15,होशियार,छात्र,3.815127909183502,5.2,0
16,होशियार,बेवकूफ,5.930488705635071,6.2,1
17,किताब,पुस्तकालय,4.703848958015442,7.6,1
18,बैंक,पैसे,4.910287857055664,8.0,1
19,लकड़ी,जंगल,5.466520190238953,7.0,1
20,प्रोफ़ेसर,खीरा,1.2081575393676758,0.0,0
21,राजा,रानी,7.052773833274841,8.2,1
22,बिशप,रबी,1.4684349298477173,7.0,0
23,यरूशलेम,इजराइल,5.267121195793152,7.8,1
24,पवित्र,सेक्स,2.6205986738204956,1.0,0
25,माराडोना,फ़ुटबॉल,6.9023507833480835,7.8,1
26,फ़ुटबॉल,सॉकर,8.435311913490295,9.0,1
27,फ़ुटबॉल,बास्केटबाल,7.39075779914856,6.4,1
28,फ़ुटबॉल,टेनिस,7.513461112976074,5.8,1
29,टेनिस,रैकेट,5.26386559009552,7.4,1
30,कानून,वकील,4.935619831085205,7.8,1
31,चलचित्र,पॉपकॉर्न,4.097071588039398,6.6,1
32,चलचित्र,आलोचक,2.9972130060195923,6.6,0
33,चलचित्र,थिएटर,5.001433491706848,8.4,1
34,पीना,कार,3.1831851601600647,1.4,0
35,पीना,कान,3.3919191360473633,0.4,0
36,पीना,मुंह,4.137031435966492,7.0,1
37,बच्चा,मां,5.511190891265869,7.2,1
38,पीना,मां,2.7913033962249756,1.8,0
39,मणि,गहना,4.018123745918274,6.8,1
40,भट्ठी,स्टोव,7.022818326950073,8.4,1
41,भोजन,फल,5.981048345565796,6.6,1
42,पक्षी,सारस,8.535008430480957,7.4,1
43,भाई,साधु,2.832368016242981,1.4,0
44,यात्रा,कार,4.197636842727661,6.2,1
45,साधु,गुलाम,2.4771392345428467,0.2,0
46,कांच,जादूगर,3.681829273700714,2.0,0
47,पैसे,मुद्रा,4.150247871875763,8.6,1
48,पैसे,धन,5.87088942527771,9.2,1
49,पैसे,संपत्ति,5.078940987586975,8.4,1
50,पैसे,बैंक,4.910287857055664,8.2,1
51,पैसे,जमा,4.823822379112244,6.6,1
52,पैसे,ऑपरेशन,3.3885905146598816,2.6,0
53,बाघ,जैगुआर,4.780786335468292,8.0,1
54,बाघ,जानवर,7.225027680397034,7.6,1
55,बाघ,चिड़ियाघर,7.05132782459259,6.8,1
56,मनोविज्ञान,चिंता,3.4812647104263306,6.2,0
57,मनोविज्ञान,डर,2.02025443315506,5.2,0
58,मनोविज्ञान,डिप्रेशन,4.415681958198547,7.0,1
59,मनोविज्ञान,क्लिनिक,4.649744629859924,6.4,1
60,मनोविज्ञान,चिकित्सक,5.237499475479126,7.0,1
61,मनोविज्ञान,मन,3.9057722687721252,7.4,0
62,मनोविज्ञान,स्वास्थ्य,5.233972072601318,6.2,1
63,मनोविज्ञान,विज्ञान,8.076863288879395,7.0,1
64,मनोविज्ञान,अनुशासन,5.243754982948303,4.2,1
65,",",Accuracy,=,0.8923076923076924,
